Rank  ,Name ,Name,Rank,CoC Name,Rank-Number,Overall Homeless,PIT,Rank-HomelessPopulation,Rank-Rate,Rank-Rate (CoC Rates and Ranking),Rate,Rate of Homelessness,ValueToDisplay,ValueToDisplay CoC
366,OK-506,OK,32,Southwest Oklahoma Regional CoC,356,134,"3,754",30,32,366,9.405633609,3.3,9,3.253840868
70,GA-504,GA,28,Augusta-Richmond County CoC,205,549,"10,689",10,28,70,9.908204733,26.7,10,26.692857108
364,OK-503,OK,32,Oklahoma Balance of State CoC,324,216,"3,754",30,32,364,9.405633609,3.5,9,3.516099994
28,MA-504,MA,12,Springfield/Hampden County CoC,51,"2,294","15,507",7,12,28,22.185533264,49.6,22,49.576631988
11,DC-500,DC,1,District of Columbia CoC,21,"4,410","4,410",28,1,11,65.939882564,65.8,66,65.815983882
35,CA-527,CA,2,Tehama County CoC,291,291,"171,521",1,2,35,43.819083728,44.4,44,44.428837522
136,NY-510,NY,6,Ithaca/Tompkins County CoC,347,152,"74,178",2,6,136,37.355170532,14.5,37,14.453890188
346,GA-506,GA,28,Marietta/Cobb County CoC,255,380,"10,689",10,28,346,9.908204733,5.0,10,4.955646960
91,CO-503,CO,14,Metropolitan Denver CoC,11,"6,884","10,397",13,14,91,17.891014691,21.2,18,21.234186176
7,NY-600,NY,6,New York City CoC,2,"61,840","74,178",2,6,7,37.355170532,73.0,37,73.032069747
132,PA-501,PA,29,Harrisburg/Dauphin County CoC,242,423,"12,691",9,29,132,9.753260418,14.7,10,14.718162839
384,MI-502,MI,38,"Dearborn, Dearborn Heights, Westland/Wayne County CoC",342,166,"8,206",17,38,384,8.175339208,1.5,8,1.453142289
348,NC-503,NC,34,North Carolina Balance of State CoC,44,"2,491","9,382",14,34,348,8.879521214,4.8,9,4.788193096
339,LA-500,LA,15,Lafayette/Acadiana CoC,269,351,"7,373",20,15,339,15.934393436,5.5,16,5.469590014
113,MN-506,MN,20,Northwest Minnesota CoC,293,285,"7,917",18,20,113,13.861577867,16.8,14,16.845365456
295,PR-503,PR,51,South-Southeast Puerto Rico CoC,113,"1,189","2,215",43,51,295,6.788870421,6.6,7,6.611480176
360,MS-503,MS,52,Gulf Port/Gulf Coast Regional CoC,331,200,"1,196",50,52,360,4.054806336,4.0,4,4.005230831
71,CA-505,CA,2,Richmond/Contra Costa County CoC,37,"3,093","171,521",1,2,71,43.819083728,26.6,44,26.631353360
215,ID-501,ID,27,Idaho Balance of State CoC,96,"1,378","1,998",44,27,215,10.491967186,9.9,10,9.920863475
279,OK-504,OK,32,Norman/Cleveland County CoC,333,197,"3,754",30,32,279,9.405633609,7.3,9,7.277052535
141,NY-513,NY,6,"Wayne, Ontario, Seneca, Yates Counties CoC",259,372,"74,178",2,6,141,37.355170532,14.2,37,14.213011783
161,KS-502,KS,39,Wichita/Sedgwick County CoC,172,690,"2,397",39,39,161,8.158827906,13.2,8,13.172262651
88,GA-503,GA,28,Athens-Clarke County CoC,294,283,"10,689",10,28,88,9.908204733,22.0,10,21.987242738
378,IL-506,IL,49,"Joliet, Bolingbrook/Will County CoC",321,219,"9,212",15,49,378,7.261279715,2.5,7,2.474274326
318,PA-603,PA,29,Beaver County CoC,368,103,"12,691",9,29,318,9.753260418,6.2,10,6.181582485
361,LA-505,LA,15,Monroe/Northeast Louisiana CoC,354,136,"7,373",20,15,361,15.934393436,3.9,16,3.912408087
184,NJ-515,NJ,31,Elizabeth/Union County CoC,173,675,"8,752",16,31,184,9.443285314,11.8,9,11.798347882
166,MO-602,MO,30,"Joplin/Jasper, Newton Counties CoC",317,231,"5,992",22,30,166,9.711785897,12.7,10,12.654691275
12,OR-501,OR,4,"Portland, Gresham/Multnomah County CoC",16,"5,228","17,959",6,4,12,42.193914387,65.1,42,65.075300886
287,PR-502,PR,51,Puerto Rico Balance of Commonwealth CoC,131,"1,026","2,215",43,51,287,6.788870421,7.0,7,7.002471340
380,TX-701,TX,37,"Bryan, College Station/Brazos Valley CoC",376,86,"24,432",5,37,380,8.265540922,2.4,8,2.408214813
190,OH-501,OH,33,Toledo/Lucas County CoC,221,494,"10,654",11,33,190,9.056180108,11.5,9,11.510027004
375,IL-500,IL,49,McHenry County CoC,374,92,"9,212",15,49,375,7.261279715,3.0,7,2.957039361
99,OK-502,OK,32,Oklahoma City CoC,100,"1,339","3,754",30,32,99,9.405633609,19.5,9,19.469991639
92,AZ-501,AZ,13,Tucson/Pima County CoC,54,"2,227","13,553",8,13,92,18.655511993,21.2,19,21.168597854
78,TN-502,TN,17,Knoxville/Knox County CoC,116,"1,178","10,567",12,17,78,15.164276312,24.2,15,24.204965511
198,NC-500,NC,34,Winston-Salem/Forsyth County CoC,237,429,"9,382",14,34,198,8.879521214,11.1,9,11.127740757
133,AR-508,AR,41,Fort Smith CoC,257,374,"2,459",37,41,133,8.120544681,14.6,8,14.589940743
310,IN-502,IN,43,Indiana Balance of State CoC,28,"3,688","5,449",24,43,310,7.997320626,6.3,8,6.320606600
160,FL-500,FL,22,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",118,"1,138","25,959",3,22,160,11.892485771,13.2,12,13.236251977
